system:index,EVI,NDVI,time,.geo
2024_10_15,0.07214754561251085,0.10168262972908938,1.7289504E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_10_31,0.07641954821894008,0.1079745952136482,1.7303328E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_11_16,0.07409198151403235,0.10542608180435685,1.7317152E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_12_02,0.07757392334577337,0.10637513377959441,1.7330976E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024_12_18,0.06942953212331875,0.10065421563012253,1.73448E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_01_01,0.07542138103982783,0.10634910451592511,1.7356896E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_01_17,0.0730835008788734,0.10317683724053485,1.737072E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_02,0.07728157136087191,0.10950411894795038,1.7384544E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_18,0.07275769488981912,0.1032928244214518,1.7398368E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_06,0.08046988192085922,0.10786692006950477,1.7412192E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_22,0.07470265381881373,0.10555120646078511,1.7426016E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_04_07,0.07331125503514732,0.09811460785088069,1.743984E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_04_23,0.073796939420267,0.09976867151093917,1.7453664E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_05_09,0.06923235921333228,0.09669487994629172,1.7467488E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_05_25,0.06686607495458495,0.09363910236158281,1.7481312E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_06_10,0.06600638970065555,0.09157990285127562,1.7495136E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_06_26,0.06800377142405811,0.09836497906958379,1.750896E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_07_12,0.0625207072901035,0.08739642405813128,1.7522784E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_07_28,0.060876384171866374,0.0846222474528079,1.7536608E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_08_13,0.06588116854908775,0.0925918549087749,1.7550432E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_08_29,0.06577391991153936,0.09438431995892897,1.7564256E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_09_14,0.06818299699865725,0.0951585933180633,1.757808E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
